Time,Team1,Team2,Score1,Score2,P_TrueSkill(team1 wins),P_ELO(team1 wins)
7/17/2024 20:00:00,Midnight Snack,S*xual Tealing,4,1,0.5180593529931141,0.6979427862667922
7/17/2024 20:10:00,bratz,the dodgefathers,3,2,0.5015079922425457,0.4950767648294024
7/17/2024 20:20:00,C*Mquats,Citrus on My Face,2,2,0.4949274427986331,0.5973851565849935
7/17/2024 20:20:00,Royal Pain in the Ice,Idina Mintzels,3,2,0.5043717386793608,0.5760142949131499
7/17/2024 20:40:00,Red For Filth,Midnight Snack,2,2,0.511492200952373,0.4996802839770241
7/17/2024 20:40:00,S*xual Tealing,GAYtors,2,2,0.4905978552791435,0.45577019074891123
7/17/2024 20:50:00,Big Eggplant Energy,Ice To Go,0,5,0.4789752522423308,0.40897024334784904
7/24/2024 19:30:00,Ice To Go,S*xual Tealing,1,3,0.5181553782405883,0.6487934679955852
7/24/2024 19:30:00,Idina Mintzels,bratz,3,1,0.47010969758264004,0.4601975184701259
7/24/2024 19:50:00,Big Eggplant Energy,the dodgefathers,2,3,0.4936638964367501,0.45270978213864527
7/24/2024 19:50:00,GAYtors,Red For Filth,0,3,0.48037051048387347,0.289376861272334
7/24/2024 20:10:00,bratz,Citrus on My Face,0,4,0.5009507384821746,0.39232412056058397
7/24/2024 20:10:00,Royal Pain in the Ice,Midnight Snack,0,4,0.5185087777887356,0.39007190659236723
7/24/2024 20:30:00,C*Mquats,GAYtors,2,3,0.5289678402670658,0.6995431675117689
7/24/2024 20:30:00,Red For Filth,Ice To Go,2,2,0.5047762636855192,0.6823366307386384
7/24/2024 20:50:00,Big Eggplant Energy,S*xual Tealing,4,0,0.4852794021283438,0.3964672093576386
7/24/2024 20:50:00,the dodgefathers,Idina Mintzels,5,0,0.5158079812393369,0.4705463834655576
7/24/2024 21:10:00,Citrus on My Face,Royal Pain in the Ice,1,2,0.4964402824364508,0.5619815459374432
7/24/2024 21:10:00,Midnight Snack,C*Mquats,2,2,0.49940529818542406,0.6167234953110705
7/31/2024 19:30:00,Idina Mintzels,Citrus on My Face,1,3,0.47178281915221204,0.37449454806317695
7/31/2024 19:30:00,Royal Pain in the Ice,Ice To Go,3,2,0.5197123044739591,0.5329704187639991
7/31/2024 19:50:00,bratz,GAYtors,2,2,0.5126341728252989,0.43617324218185166
7/31/2024 19:50:00,S*xual Tealing,Red For Filth,0,4,0.47858721892980566,0.23839975030685998
7/31/2024 20:10:00,Ice To Go,C*Mquats,2,3,0.4903566591425106,0.39503338757251266
7/31/2024 20:10:00,Idina Mintzels,Big Eggplant Energy,4,1,0.5192281385434511,0.4765466314295017
7/31/2024 20:30:00,Citrus on My Face,the dodgefathers,0,4,0.5125122228513942,0.5726317891978996
7/31/2024 20:30:00,Midnight Snack,bratz,4,1,0.48856159587985565,0.7745239538452889
7/31/2024 20:50:00,C*Mquats,S*xual Tealing,2,3,0.5350182182857379,0.7278958144292436
7/31/2024 20:50:00,GAYtors,Royal Pain in the Ice,1,3,0.4714336705063496,0.3800961976616718
7/31/2024 21:10:00,Big Eggplant Energy,Red For Filth,2,3,0.4640385414246779,0.2000553635102511
7/31/2024 21:10:00,the dodgefathers,Midnight Snack,2,2,0.5013846946010637,0.3462724357994648
8/7/2024 19:30:00,Citrus on My Face,Big Eggplant Energy,1,6,0.5573730517722155,0.6620854545106585
8/7/2024 19:30:00,Red For Filth,C*Mquats,2,2,0.5135700837209425,0.6396041992489805
8/7/2024 19:50:00,bratz,S*xual Tealing,2,2,0.5115270970319078,0.4613003736695078
8/7/2024 19:50:00,Midnight Snack,Idina Mintzels,2,3,0.5149969482216994,0.7504438132063079
8/7/2024 20:10:00,Royal Pain in the Ice,Red For Filth,0,2,0.5233744940806695,0.3922202666445929
8/7/2024 20:10:00,the dodgefathers,Ice To Go,3,1,0.5208112964840421,0.6036639393753479
8/7/2024 20:30:00,Citrus on My Face,Midnight Snack,2,2,0.5251648025661171,0.2888263705253995
8/7/2024 20:30:00,Idina Mintzels,GAYtors,1,4,0.49697086134589835,0.5606023041838142
8/7/2024 20:50:00,Big Eggplant Energy,C*Mquats,1,5,0.4482622031446992,0.3448538952750218
8/7/2024 20:50:00,bratz,Ice To Go,2,2,0.5274257664445846,0.4390174709891073
8/7/2024 21:10:00,GAYtors,the dodgefathers,2,2,0.506199461559999,0.37080705518924184
8/7/2024 21:10:00,S*xual Tealing,Royal Pain in the Ice,2,3,0.46786525400029,0.3422603497771361
8/14/2024 19:30:00,Ice To Go,Citrus on My Face,1,5,0.4832465818798745,0.471643439171104
8/14/2024 19:30:00,Red For Filth,bratz,3,1,0.513853361907809,0.8133745708912242
8/14/2024 19:50:00,C*Mquats,Royal Pain in the Ice,3,3,0.45757604584692924,0.5297508249288675
8/14/2024 19:50:00,S*xual Tealing,the dodgefathers,3,2,0.49163977056805175,0.30312111204724645
8/14/2024 20:10:00,Ice To Go,Idina Mintzels,3,2,0.48487614263789836,0.4568450389970755
8/14/2024 20:10:00,Midnight Snack,Big Eggplant Energy,3,2,0.5409999428901892,0.748859436451341
8/14/2024 20:30:00,GAYtors,Citrus on My Face,5,1,0.4995233656664049,0.47154246147608575
8/14/2024 20:30:00,the dodgefathers,Red For Filth,2,3,0.4796009502086025,0.30972706748656564
8/14/2024 20:50:00,bratz,C*Mquats,1,4,0.477394527281344,0.26381801859379217
8/14/2024 20:50:00,S*xual Tealing,Idina Mintzels,4,0,0.518789881002915,0.5301686517724254
8/14/2024 21:10:00,GAYtors,Midnight Snack,3,1,0.4951195033399354,0.36121460422865004
8/14/2024 21:10:00,Royal Pain in the Ice,Big Eggplant Energy,3,1,0.5884295221445006,0.7036726588424699
8/21/2024 19:30:00,Ice To Go,GAYtors,1,3,0.5006365560040689,0.3340695848425141
8/21/2024 19:30:00,Red For Filth,Citrus on My Face,3,1,0.5210594890873693,0.7843639922212723
8/21/2024 19:50:00,bratz,Big Eggplant Energy,1,3,0.5522037492042077,0.48527915740690797
8/21/2024 19:50:00,the dodgefathers,Royal Pain in the Ice,0,6,0.4469458039865485,0.42761848145399234
8/21/2024 20:10:00,C*Mquats,Idina Mintzels,3,2,0.5290455637053963,0.7642227821292358
8/21/2024 20:10:00,Midnight Snack,Ice To Go,1,4,0.5042244633457127,0.7215602071681251
8/21/2024 20:30:00,Big Eggplant Energy,GAYtors,2,3,0.44105610643000753,0.2916633418324556
8/21/2024 20:30:00,Citrus on My Face,S*xual Tealing,3,1,0.4947511260654586,0.4613330103926705
8/21/2024 20:50:00,Idina Mintzels,Red For Filth,1,4,0.45602043596682906,0.1379846724955362
8/21/2024 20:50:00,Royal Pain in the Ice,bratz,4,0,0.5370941376062398,0.8134959495569637
8/21/2024 21:10:00,C*Mquats,the dodgefathers,3,1,0.5517378934649997,0.6570915931871734
8/21/2024 21:10:00,S*xual Tealing,Midnight Snack,1,2,0.5009051734124086,0.37867638703546563
10/9/2024 18:40:00,Clementops,Froggays,3,2,0.4812823547972387,0.3872583223511702
10/9/2024 18:40:00,Violetly Gay,Wet Dreams,2,2,0.5086712262310489,0.5739174630727811
10/9/2024 19:00:00,Cardinal Sinners,Winona Ride Her,3,3,0.5146352144159783,0.5466651956185813
10/9/2024 19:00:00,The Blue Ballers,Urine Trouble,4,1,0.4832705766488675,0.40248902253176727
10/9/2024 19:20:00,Naughty Hotties,Twerkoise,2,1,0.47925922828005785,0.4243394708547781
10/9/2024 19:20:00,Queermint,Lime and Punishment,6,0,0.4930109503434384,0.5134169186206118
10/9/2024 19:40:00,Urine Trouble,Froggays,0,4,0.5040814629074883,0.4668829271050583
10/9/2024 19:40:00,Winona Ride Her,Violetly Gay,1,3,0.5076274201193888,0.4784344121858004
10/9/2024 20:00:00,Clementops,Wet Dreams,3,2,0.5182039002180138,0.4854510728064607
10/9/2024 20:00:00,The Blue Ballers,Lime and Punishment,4,1,0.4829779045875991,0.5582316901909085
10/9/2024 20:20:00,Queermint,Naughty Hotties,2,2,0.5051363364988872,0.5482914591817296
10/9/2024 20:20:00,Twerkoise,Cardinal Sinners,3,2,0.5006144667912378,0.46133574573613706
10/9/2024 20:40:00,Cuntolina Panthers,Washington Formanders,2,1,0.49247054407916424,0.37465342803146245
10/9/2024 20:40:00,Mean Gay Packers,Vikinks,3,1,0.5039023954452965,0.5987287871034592
10/9/2024 21:00:00,Cuntolina Panthers,Vikinks,3,1,0.5198191990042099,0.662275374349048
10/9/2024 21:00:00,Edgar Allen Hoes,Gay Sharks,3,2,0.5030023069899177,0.539132318112008
10/9/2024 21:20:00,Mean Gay Packers,Gay Sharks,4,1,0.5189917891793044,0.674512116222128
10/9/2024 21:20:00,Washington Formanders,Edgar Allen Hoes,0,4,0.48709250524539033,0.5584271225635844
10/16/2024 18:40:00,Lime and Punishment,Urine Trouble,1,4,0.5002836247332194,0.4674585794386009
10/16/2024 18:40:00,Naughty Hotties,The Blue Ballers,3,1,0.5038935334202715,0.4538858486743059
10/16/2024 19:00:00,Cardinal Sinners,Queermint,3,2,0.5009437357666203,0.4940758919111224
10/16/2024 19:00:00,Violetly Gay,Twerkoise,2,3,0.4700664786188693,0.5287182226810317
10/16/2024 19:20:00,Froggays,Lime and Punishment,4,1,0.49741013601009937,0.6917076107819053
10/16/2024 19:20:00,Wet Dreams,Winona Ride Her,2,2,0.47937327788362294,0.48254730843675503
10/16/2024 19:40:00,Clementops,Urine Trouble,3,1,0.5227338348046482,0.5313360108189132
10/16/2024 19:40:00,The Blue Ballers,Cardinal Sinners,1,3,0.4747406597580529,0.41986775387417585
